epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,8610.77,0.62531,0.33461,0.8662,0.98815,0.94224,0.97568,0.80837,0.51768,0.24848,0.82596,0.00344661,0.00344661,0.00344661
123,8681.36,0.61694,0.331,0.86541,0.98817,0.94272,0.9757,0.80823,0.51727,0.24798,0.82575,0.00337325,0.00337325,0.00337325
124,8751.96,0.61665,0.32747,0.86592,0.98781,0.94307,0.97568,0.80939,0.5171,0.24762,0.82563,0.0033003,0.0033003,0.0033003
125,8822.6,0.61573,0.32885,0.86364,0.98746,0.94325,0.97578,0.8098,0.5171,0.2479,0.82546,0.00322778,0.00322778,0.00322778
126,8893.08,0.61241,0.32644,0.86402,0.9874,0.94323,0.97587,0.81039,0.51655,0.24736,0.82525,0.00315572,0.00315572,0.00315572
127,8963.66,0.61323,0.32704,0.8655,0.98734,0.94316,0.97579,0.80963,0.51619,0.2475,0.82502,0.00308412,0.00308412,0.00308412
128,9034.35,0.61666,0.32717,0.86739,0.98743,0.94315,0.97582,0.80992,0.51585,0.24702,0.82492,0.003013,0.003013,0.003013
129,9105.09,0.6145,0.32733,0.86698,0.98749,0.9433,0.97586,0.81168,0.5155,0.24679,0.82486,0.00294239,0.00294239,0.00294239
130,9175.63,0.61199,0.32312,0.86533,0.9875,0.94332,0.97587,0.81033,0.51518,0.24642,0.82474,0.0028723,0.0028723,0.0028723
131,9246.13,0.60493,0.31997,0.86168,0.98775,0.94352,0.97627,0.81172,0.51484,0.24657,0.82459,0.00280275,0.00280275,0.00280275
132,9316.98,0.6078,0.32071,0.86184,0.98752,0.94321,0.97612,0.81261,0.51445,0.24599,0.82442,0.00273375,0.00273375,0.00273375
133,9388.2,0.60971,0.32122,0.86399,0.98732,0.94343,0.97618,0.81192,0.51411,0.24613,0.82432,0.00266532,0.00266532,0.00266532
134,9459.08,0.60699,0.31832,0.86336,0.98789,0.94441,0.97632,0.81187,0.51389,0.24586,0.82426,0.00259748,0.00259748,0.00259748
135,9529.86,0.60417,0.31774,0.86452,0.98729,0.94462,0.97626,0.81144,0.51357,0.24618,0.82414,0.00253024,0.00253024,0.00253024
136,9600.72,0.6002,0.31307,0.86179,0.98718,0.94477,0.97635,0.81132,0.51335,0.24567,0.82405,0.00246363,0.00246363,0.00246363
137,9671.73,0.60262,0.31662,0.86254,0.98721,0.94496,0.97639,0.81219,0.51296,0.24558,0.82397,0.00239766,0.00239766,0.00239766
138,9743.26,0.60191,0.31647,0.86324,0.98728,0.94516,0.97653,0.8124,0.51277,0.24579,0.82385,0.00233234,0.00233234,0.00233234
139,9814.31,0.59467,0.3122,0.85902,0.98717,0.94522,0.97673,0.8117,0.51257,0.24566,0.82384,0.00226769,0.00226769,0.00226769
140,9885.4,0.59826,0.31228,0.85866,0.98718,0.9453,0.97699,0.8119,0.51236,0.2456,0.82368,0.00220372,0.00220372,0.00220372
141,9958.3,0.59623,0.31345,0.85908,0.98711,0.9454,0.97701,0.81282,0.51217,0.24578,0.82373,0.00214046,0.00214046,0.00214046
142,10035.3,0.59973,0.31435,0.85826,0.98704,0.94541,0.97702,0.81203,0.51214,0.24535,0.82365,0.00207792,0.00207792,0.00207792
143,10113,0.59235,0.30807,0.85843,0.98699,0.94551,0.97703,0.81152,0.51212,0.24511,0.82355,0.00201611,0.00201611,0.00201611
144,10190.1,0.59075,0.30811,0.85925,0.98687,0.94568,0.97679,0.81266,0.5118,0.24461,0.82347,0.00195505,0.00195505,0.00195505
145,10264.6,0.59202,0.3079,0.85933,0.98691,0.94554,0.97684,0.8117,0.51162,0.24445,0.82337,0.00189475,0.00189475,0.00189475
146,10337.4,0.58974,0.30651,0.86107,0.98692,0.9455,0.9769,0.81206,0.51152,0.2446,0.82336,0.00183523,0.00183523,0.00183523
147,10410.4,0.5873,0.30264,0.86137,0.98727,0.94657,0.97712,0.81263,0.51126,0.24441,0.82331,0.00177651,0.00177651,0.00177651
148,10484.2,0.58369,0.30429,0.85938,0.98729,0.94659,0.97712,0.8134,0.51083,0.24386,0.82325,0.00171859,0.00171859,0.00171859
149,10557.1,0.59213,0.30701,0.86267,0.98743,0.94657,0.97671,0.8125,0.5107,0.24381,0.82314,0.00166149,0.00166149,0.00166149
150,10630.5,0.58326,0.30374,0.85614,0.98749,0.94653,0.97672,0.81319,0.51061,0.24362,0.82311,0.00160523,0.00160523,0.00160523
151,10703.4,0.57935,0.29964,0.85512,0.98778,0.94613,0.97678,0.81296,0.51037,0.24359,0.82295,0.00154982,0.00154982,0.00154982
152,10777.1,0.5807,0.2998,0.8565,0.98776,0.9461,0.97679,0.81273,0.51002,0.24333,0.82295,0.00149527,0.00149527,0.00149527
153,10850.9,0.58227,0.30264,0.8579,0.98778,0.94627,0.97679,0.8136,0.50967,0.24328,0.82286,0.00144161,0.00144161,0.00144161
154,10924.3,0.57669,0.29916,0.85713,0.9878,0.9464,0.97678,0.81485,0.50941,0.24349,0.82274,0.00138883,0.00138883,0.00138883
155,10997.6,0.57546,0.2971,0.85568,0.98784,0.9464,0.97678,0.81392,0.50918,0.24321,0.82267,0.00133695,0.00133695,0.00133695
156,11070.6,0.57563,0.29811,0.85559,0.98792,0.94641,0.97685,0.81388,0.50888,0.24309,0.82261,0.00128599,0.00128599,0.00128599
157,11144.8,0.57099,0.29501,0.85589,0.98787,0.94639,0.9769,0.81511,0.50875,0.24312,0.82257,0.00123596,0.00123596,0.00123596
158,11218.3,0.57794,0.29663,0.85568,0.9879,0.94651,0.97689,0.81501,0.50861,0.24268,0.82248,0.00118687,0.00118687,0.00118687
159,11291.4,0.57222,0.2957,0.8544,0.98803,0.94648,0.97696,0.81518,0.50825,0.24252,0.82245,0.00113873,0.00113873,0.00113873
160,11364.5,0.57273,0.29544,0.8564,0.98809,0.94661,0.97695,0.81498,0.50822,0.24231,0.82239,0.00109156,0.00109156,0.00109156
161,11438.2,0.57345,0.29463,0.85624,0.98815,0.94666,0.97695,0.81556,0.50804,0.24209,0.82237,0.00104537,0.00104537,0.00104537
162,11512.4,0.57067,0.29459,0.85494,0.98821,0.94666,0.977,0.81555,0.50777,0.24161,0.82224,0.00100016,0.00100016,0.00100016
163,11586.5,0.56246,0.2904,0.85319,0.98837,0.94668,0.97701,0.81445,0.50763,0.24177,0.82219,0.000955951,0.000955951,0.000955951
164,11659.9,0.57239,0.29375,0.85321,0.98857,0.94659,0.977,0.81595,0.50731,0.24158,0.82213,0.000912754,0.000912754,0.000912754
165,11733.6,0.5649,0.29068,0.85153,0.98854,0.94684,0.97701,0.81507,0.507,0.24163,0.82206,0.000870577,0.000870577,0.000870577
166,11808.1,0.56751,0.2902,0.85302,0.98866,0.94677,0.977,0.81594,0.50682,0.24184,0.82195,0.000829431,0.000829431,0.000829431
167,11880.7,0.55942,0.28651,0.85092,0.98876,0.9464,0.97704,0.81554,0.50667,0.24145,0.82186,0.000789327,0.000789327,0.000789327
168,11953.3,0.56222,0.28807,0.853,0.98883,0.94617,0.97701,0.8156,0.50649,0.24155,0.82182,0.000750274,0.000750274,0.000750274
169,12025.5,0.56149,0.28574,0.85337,0.98888,0.94578,0.97701,0.81548,0.50633,0.24113,0.82176,0.000712282,0.000712282,0.000712282
170,12098.1,0.55928,0.28593,0.85061,0.98889,0.94587,0.97704,0.81556,0.50627,0.24108,0.82168,0.00067536,0.00067536,0.00067536
171,12171.5,0.56427,0.2879,0.8526,0.989,0.94575,0.97704,0.81674,0.50605,0.241,0.8216,0.000639518,0.000639518,0.000639518
172,12244.3,0.55974,0.28683,0.84969,0.98916,0.94575,0.97704,0.81629,0.50581,0.24113,0.8215,0.000604763,0.000604763,0.000604763
173,12316.8,0.55481,0.28417,0.84948,0.98913,0.94574,0.97705,0.8154,0.5058,0.24075,0.82146,0.000571106,0.000571106,0.000571106
174,12389.4,0.55629,0.28363,0.84989,0.98911,0.94573,0.97703,0.81553,0.5056,0.2411,0.82136,0.000538554,0.000538554,0.000538554
175,12463.1,0.55649,0.28273,0.85135,0.98912,0.94575,0.97711,0.81472,0.50526,0.2408,0.82134,0.000507115,0.000507115,0.000507115
176,12536.7,0.5565,0.28489,0.8494,0.98899,0.94584,0.97714,0.81701,0.50523,0.24065,0.82124,0.000476796,0.000476796,0.000476796
177,12609.7,0.55786,0.28234,0.85078,0.98903,0.94598,0.97716,0.81623,0.50494,0.24122,0.82113,0.000447606,0.000447606,0.000447606
178,12682.8,0.55663,0.28215,0.85097,0.98905,0.94604,0.97724,0.81578,0.50473,0.24083,0.82108,0.000419552,0.000419552,0.000419552
179,12755.7,0.55143,0.28082,0.85032,0.98905,0.94696,0.97728,0.81666,0.50456,0.24104,0.82099,0.00039264,0.00039264,0.00039264
